Dataset,Model,|BatchSize,Lr,N_past,Hidden_size,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TestLoss,Train_days,Num_frozen,Type
ROBOD,LSTM,256,0.05,10,32,333,23,0.68134,0.6623,0.678173,0.6217,0.437104537,0.578053129,0.494551767,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.678455,0.6557,0.70161,0.5849,0.458336473,0.635166372,0.421780298,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,5555,25,0.624154,0.6141,0.708466,0.5651,0.438145388,0.637052138,0.411382552,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,66666,24,0.687946,0.6435,0.688444,0.6038,0.44974107,0.600795536,0.450257814,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,77777,25,0.675468,0.6572,0.683962,0.6115,0.44745634,0.603261595,0.460663006,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,888888,25,0.66469,0.7166,0.715874,0.5986,0.455853751,0.663323177,0.412912605,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,999999999,25,0.662667,0.631,0.706075,0.5602,0.452368944,0.637167278,0.412078071,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,25,0.647085,0.574,0.821717,0.4269,0.442959785,0.775204315,0.382529261,4,2,No transfer
ROBOD,LSTM,256,0.05,10,32,22,25,0.641323,0.5765,0.797249,0.4762,0.441613265,0.73893091,0.454685703,4,2,No transfer
ROBOD,LSTM,256,0.05,10,32,333,25,0.634854,0.6293,0.807852,0.461,0.438572675,0.772176974,0.448215839,4,2,No transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.677032,0.5354,0.804136,0.4907,0.43981142,0.72784297,0.459777422,4,2,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,25,0.675883,0.5601,0.822973,0.452,0.413037859,0.76577006,0.438988545,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,22,25,0.596708,0.6587,0.805213,0.4717,0.390835114,0.760173736,0.47186026,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,333,25,0.659395,0.62,0.837871,0.4274,0.406133791,0.792930038,0.402072502,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.629755,0.5828,0.820475,0.4391,0.399240798,0.775006032,0.400614765,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,5555,25,0.722967,0.5367,0.792069,0.4899,0.406226184,0.704050018,0.488630112,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,66666,25,0.62159,0.5649,0.807401,0.4526,0.398565771,0.758535757,0.414833194,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,77777,25,0.620034,0.5819,0.796984,0.4554,0.394186547,0.745453578,0.437476537,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,888888,25,0.660385,0.5682,0.801547,0.4455,0.409173884,0.737516495,0.404628811,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,999999999,25,0.603532,0.6103,0.809084,0.4416,0.392003067,0.773364827,0.421141872,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,0,0.450079,0.6968,0,10000000000,0.386136463,0,0,0,0,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,0,0.797255,0.4791,0,10000000000,0.456175209,0,0,0,1,Transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.670054,0.5927,0.779158,0.5702,0.391855446,0.702298932,0.556379895,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.6876,0.5455,0.821726,0.4851,0.41245607,0.738072887,0.500539791,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.619036,0.6459,0.754781,0.5386,0.38945088,0.70696308,0.516093983,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.618962,0.6516,0.770862,0.496,0.39908346,0.734788917,0.434658594,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.711292,0.5737,0.735883,0.5653,0.375842661,0.618215587,0.568961993,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.702535,0.5864,0.774184,0.534,0.391237392,0.665615042,0.538468872,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.661272,0.6531,0.776356,0.532,0.409733155,0.710345069,0.514333259,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.64189,0.5866,0.748852,0.5141,0.41336418,0.711864086,0.48051325,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,333,25,0.708231,0.5877,0.729713,0.5898,0.363797448,0.602804566,0.593908192,6,0,No transfer
