Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,,,,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.835342,0.3515,0.708686,0.5879,0.428493651,0.621412893,0.329398787,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.834801,0.3519,0.708686,0.5877,0.428790682,0.621412893,0.33167604,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.83554,0.3502,0.710249,0.5881,0.426002834,0.622835143,0.345841163,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.835209,0.3512,0.709468,0.5877,0.428247293,0.622120857,0.333028062,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.835143,0.3508,0.709468,0.5873,0.426751053,0.622120857,0.340548901,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.835275,0.3511,0.709468,0.5871,0.428357738,0.622120857,0.341241624,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.835474,0.3498,0.710249,0.587,0.426002834,0.622835143,0.360325272,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.835342,0.35,0.709468,0.5869,0.425962045,0.622120857,0.335727406,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.835275,0.3511,0.709468,0.5877,0.427843676,0.622120857,0.327160122,1,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.829359,0.3391,0.761904,0.5014,0.437849965,0.703818718,0.402403458,2,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.829359,0.3391,0.761904,0.5014,0.437849965,0.703818718,0.402403458,2,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.829359,0.3391,0.761904,0.5014,0.437849965,0.703818718,0.402403458,2,2,
ROBOD,LSTM,256,0.1,10,32,0,25,0.829359,0.3391,0.761904,0.5014,0.437849965,0.703818718,0.402403458,2,2,
ROBOD,LSTM,256,0.05,10,32,1111,12,0.659759,0.6603,0.573411,0.6841,0.422668208,0.485094378,0.57394357,1,2,
ROBOD,LSTM,256,0.05,10,32,22,17,0.678518,0.6631,0.582786,0.6714,0.434215241,0.488883638,0.579697748,1,2,
ROBOD,LSTM,256,0.05,10,32,333,23,0.670186,0.6714,0.588003,0.6757,0.438638159,0.509249197,0.532878523,1,2,
ROBOD,LSTM,256,0.05,10,32,4444,9,0.326405,0.7122,0.551377,0.6985,0.35203819,0.600249234,0.657141852,1,2,
ROBOD,LSTM,256,0.05,10,32,5555,8,0.414857,0.7294,0.4933,0.7025,0.38203155,0.584536749,0.634351812,1,2,
